slug,机型,最低价,典型价,最高价,价格备注,成色口径,市场,核价月份,状态
olympus-mju-1,奥林巴斯 mju-1,460,630,800,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
olympus-mju-2,奥林巴斯 mju-2,3000,3000,,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
olympus-om-1,奥林巴斯 OM-1,800,1150,1500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
olympus-om-10,奥林巴斯 OM-10,300,450,600,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
olympus-om-2,奥林巴斯 OM-2,800,1150,1500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
olympus-om-2n,奥林巴斯 OM-2n,800,1150,1500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
olympus-om-4,奥林巴斯 OM-4,1500,2250,3000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
olympus-pen-d3,奥林巴斯 Pen D3,500,750,1000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
olympus-pen-ee-2,奥林巴斯 Pen EE-2,500,650,800,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
olympus-pen-f,奥林巴斯 Pen F 系列,1500,2250,3000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
olympus-xa,奥林巴斯 XA,1000,1750,2500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
pentax-6-7,宾得 6×7,4000,6000,8000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
pentax-espio-mini,宾得 Espio Mini,1000,1250,1500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
pentax-k1000,宾得 K1000,800,1150,1500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
pentax-k2,宾得 K2,600,800,1000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
pentax-km-kx,宾得 KM / KX,400,600,800,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
pentax-lx,宾得 LX,1500,2250,3000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
